SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
146.3,39.4786408,-0.3463288,54.62,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.39
146.33,39.478640899999995,-0.3463288,54.68,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.39
146.36,39.478640899999995,-0.3463288,54.73,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.39
146.39,39.478640899999995,-0.3463288,54.76,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.4
146.42,39.478640899999995,-0.3463288,54.82,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.4
146.46,39.478640899999995,-0.3463287,54.88,0.7,0.0,-0.0,0.7,0.04,-0.02,-1.4
146.5,39.478640899999995,-0.3463287,54.91,0.7,0.0,-0.0,0.7,0.04,-0.02,-1.4
146.53,39.478640899999995,-0.3463287,54.97,0.7,0.0,-0.0,0.7,0.04,-0.02,-1.4
146.56,39.478640899999995,-0.3463287,55.03,0.7,0.0,-0.0,0.7,0.04,-0.02,-1.41
146.59,39.478640899999995,-0.3463287,55.06,0.7,0.0,-0.0,0.7,0.04,-0.02,-1.41
146.62,39.478640899999995,-0.3463287,55.12,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.41
146.66,39.478640899999995,-0.3463287,55.17,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.41
146.7,39.478640899999995,-0.3463287,55.21,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.41
146.73,39.478640899999995,-0.3463287,55.27,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.41
146.76,39.478640899999995,-0.3463287,55.33,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.41
146.79,39.478640899999995,-0.3463287,55.35,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.42
146.82,39.478640899999995,-0.3463287,55.41,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.42
146.86,39.478640899999995,-0.3463287,55.47,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.42
146.9,39.478640899999995,-0.3463287,55.51,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.42
146.93,39.478640899999995,-0.3463287,55.57,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.42
146.96,39.478640899999995,-0.3463287,55.63,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
146.99,39.478640899999995,-0.3463287,55.65,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
